ID,Abstract,Source PDF,Approved,Notes
seed:profit-first,"Profit First accounting for solo founders: cash buckets, owner's pay, runway discipline",,FALSE,
seed:one-hour-ops,"One-hour ops: daily cadence to ship, automate, and reduce operational drag",,FALSE,
seed:lead-magnet,Design a simple lead magnet that filters ICP and drives weekly conversations,,FALSE,
seed:pricing-ladder,"Build a pricing ladder: starter, core, premium; anchor on outcome not effort",,FALSE,
seed:niche-sharpening,"Sharpen your niche: one persona, one painful outcome, one clear promise",,FALSE,
seed:owner-calendar,"Owner calendar: protect deep work blocks, compress meetings, batch decisions",,FALSE,
seed:ops-scorecard,"Ops scorecard: weekly metrics for pipeline, cash, churn, cycle time",,FALSE,
seed:handoff-cadence,Handoff cadence: standardize client updates; reduce ambiguity with clear next steps,,FALSE,
seed:service-blueprint,"Service blueprint: map stages, artifacts, SLAs; eliminate hidden work",,FALSE,
seed:agency-minimums,"Agency minimums: set floor fees, scope guardrails, kill scope creep politely",,FALSE,
seed:solo-power-hour,"Solo power hour: outreach, follow-ups, proposals—no tools, just reps",,FALSE,
seed:proposal-library,"Proposal library: templatize outcomes, risks, schedule; reuse and refine",,FALSE,
seed:weekly-demo,"Weekly demo: show real progress, capture next commitment, prevent drift",,FALSE,
seed:decision-log,"Decision log: record context, options, tradeoffs; avoid re-litigating",,FALSE,
seed:accountability-loop,"Accountability loop: set commitments, track, review; remove wiggle room",,FALSE,
seed:cash-sweep,Cash sweep routine: move surplus to runway and taxes every Friday,,FALSE,
seed:ops-drills,"Ops drills: practice escalations, backups, and restores before they matter",,FALSE,
seed:churn-math,Churn math: reduce cancellations by clarifying value and closing feedback loops,,FALSE,
seed:scope-guardrails,"Scope guardrails: define done, change policy, and response windows",,FALSE,
seed:client-onboarding,"Client onboarding: checklist, kickoff deck, mutual plan, first win",,FALSE,
seed:waitlist-discipline,"Waitlist discipline: cap capacity, maintain scarcity, protect quality",,FALSE,
seed:email-cadence,"Email cadence: weekly teaching with CTA; short, specific, useful",,FALSE,
seed:weekly-planning,"Weekly planning: pick three outcomes, kill distractions, block time",,FALSE,
seed:offer-matrix,"Offer matrix: map pains to outcomes; pick one flagship, one upsell",,FALSE,
seed:retainer-shape,"Retainer shape: define rhythm, artifacts, checkpoints, exit criteria",,FALSE,
seed:ops-checklists,Ops checklists: step-by-step tasks for repeatability; store in plain text,,FALSE,
seed:meeting-compression,"Meeting compression: halve duration, write pre-reads, decide in doc",,FALSE,
seed:after-action,"After-action review: what happened, why, fixes, next play",,FALSE,
seed:tradeoffs-talk,Tradeoffs talk: frame choices with constraints; pick a path and commit,,FALSE,
seed:ICP-clarity,"ICP clarity: one sentence test—who, pain, outcome, proof",,FALSE,
seed:docs-as-product,Docs as product: living SOPs that reduce errors and speed onboarding,,FALSE,
seed:runway-math,"Runway math: expenses, burn, margin; decide now, not later",,FALSE,
seed:tail-risk,Tail risk: identify black swans; add tiny protections early,,FALSE,
seed:ops-radar,Ops radar: watch leading indicators; act before fires start,,FALSE,
seed:ops-inventory,Ops inventory: list workflows; automate the boring parts first,,FALSE,
seed:feedback-loop,Feedback loop: ask for proof of value weekly; adjust scope fast,,FALSE,
seed:proposal-clarity,"Proposal clarity: problem, outcome, plan, proof, price—no fluff",,FALSE,
seed:calendar-cleanup,Calendar cleanup: delete recurring noise; create maker mornings,,FALSE,
seed:owner-ops,"Owner ops: ship, sell, learn—repeat; avoid tool rabbit holes",,FALSE,
seed:content-system,Content system: 3 posts per week from real client stories,,FALSE,
seed:weekly-1-1,"Weekly 1:1: short, specific, next move; no status theater",,FALSE,
seed:slas-that-bite,SLAs that bite: define response times; enforce with polite scripts,,FALSE,
seed:okrs-lite,"OKRs lite: 1 objective, 3 key results; update Friday",,FALSE,
seed:ops-budget,"Ops budget: small tools, high leverage; kill subscriptions quarterly",,FALSE,
seed:handoff-checklist,Handoff checklist: ready-to-run artifacts; zero ambiguous steps,,FALSE,
seed:escalation-path,"Escalation path: who, when, how; practice before chaos",,FALSE,
seed:client-wins,"Client wins: collect testimonials; ship proof, not adjectives",,FALSE,
seed:agency-differentiation,Agency differentiation: one unfair advantage; show it in case studies,,FALSE,
seed:operating-rhythm,"Operating rhythm: Monday plan, Wed ship, Fri review",,FALSE,
seed:owner-boundaries,"Owner boundaries: protect energy, say no, enforce scope",,FALSE,
